Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,11.080,061 11080,06.1.11.080,Frais médicaux et funéraires divers,29 807,30 000,31 000,34 000,35 000,36 000,Crédit non limitatif et sans distinction d'exercice
Article,11.090,061 11090,06.1.11.090,Indemnité de poste et de logement du personnel à l'étranger,42 244,42 245,42 245,43 000,43 000,43 000,Crédit non limitatif
Article,11.100,061 11100,06.1.11.100,Indemnités d'habillement,986 931,1 030 000,1 060 000,1 108 000,1 136 000,1 140 000,Crédit non limitatif
Article,11.120,061 11120,06.1.11.120,Gratifications pour croix de service,173 328,168 312,189 306,171 112,174 418,193 943,Crédit non limitatif
Article,11.130,061 11130,06.1.11.130,Indemnités pour services extraordinaires,64 481,72 500,72 500,81 000,83 000,85 000,Crédit sans distinction d'exercice
Article,11.131,061 11131,06.1.11.131,Indemnités de permanence à domicile,411 774,420 000,420 000,441 000,452 000,455 000,Crédit non limitatif
Article,11.140,061 11140,06.1.11.140,Location de logements de service; dépenses diverses,827 094,100,100,,,,Crédit non limitatif et sans distinction d'exercice
Article,11.141,061 11141,06.1.11.141,Frais d'alimentation,317 243,214 000,90 000,91 438,95 852,100 163,Crédit non limitatif et sans distinction d'exercice
Article,11.150,061 11150,06.1.11.150,Indemnités pour heures supplémentaires,584 161,600 000,615 000,630 000,646 000,650 000,Crédit non limitatif
Article,11.300,061 11300,06.1.11.300,Indemnités spéciales allouées aux membres de missions de maintien de la paix,118 748,247 680,210 240,248 000,248 000,248 000,Crédit non limitatif et sans distinction d'exercice
Article,12.000,061 12000,06.1.12.000,Indemnités pour services de tiers,16 461,30 000,30 000,35 000,35 000,35 000,
Article,12.010,061 12010,06.1.12.010,Frais de route et de séjour; frais de déménagement,116 488,320 000,310 000,341 000,350 000,350 000,Crédit non limitatif et sans distinction d'exercice
Article,12.012,061 12012,06.1.12.012,Frais de route et de séjour à l'étranger,178 757,0,0,,,,Crédit sans distinction d'exercice
Article,12.020,061 12020,06.1.12.020,Frais d'exploitation des véhicules automoteurs,137 400,2 424 000,2 465 000,2 660 000,2 694 000,2 800 000,Crédit sans distinction d'exercice
Article,12.021,061 12021,06.1.12.021,Frais d'exploitation des véhicules automoteurs: carburants et combustibles,1 075 388,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.022,061 12022,06.1.12.022,Frais d'exploitation des véhicules automoteurs: divers,1 089 672,0,0,,,,Crédit sans distinction d'exercice
Article,12.023,061 12023,06.1.12.023,Frais d'exploitation d'un hélicoptère de police,2 132 855,2 344 117,2 489 019,2 635 000,2 682 000,2 528 000,Crédit non limitatif et sans distinction d'exercice
Article,12.030,061 12030,06.1.12.030,"Frais d'acquisition, d'entretien et de lavage de divers effets d'habillement, de vêtements de travail, d'articles de literie et de rideaux; dépenses diverses",777 556,0,0,,,,
Article,12.040,061 12040,06.1.12.040,Frais de bureau,597 087,0,,,,,
Article,12.042,061 12042,06.1.12.042,"Frais concernant les carnets de convocation en matière d'infraction à la circulation routière, papillons zone bleue: divers",38 675,0,0,,,,Crédit non limitatif
Article,12.050,061 12050,06.1.12.050,Achat de biens et de services postaux et de télécommunications,1 109 011,0,0,,,,
Article,12.051,061 12051,06.1.12.051,Achat de biens et de services postaux et de télécommunications; voies louées pour les réseaux informatiques et systèmes de télécommunications,1 048 878,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.060,061 12060,06.1.12.060,"Location et entretien des installations de télécommunications; installation et entretien de matériel de transmission, de détection et de contrôle; acquisition d'outillage et de matériel de rechange; location d'équipements de transmission de données; frais d'utilisation du réseau radio-électrique; frais de consultation et de développement du réseau de communication digitalisé",152 288,0,0,,,,Crédit sans distinction d'exercice
Article,12.070,061 12070,06.1.12.070,Location et entretien des équipements informatiques,3 077 714,3 502 112,3 319 158,3 450 000,3 400 000,3 400 000,Crédit sans distinction d'exercice
Article,12.071,061 12071,06.1.12.071,Coopération policière européenne: développement et exploitation de nouveaux systèmes d'information,,656 000,485 000,570 000,590 000,610 000,Crédit non limitatif et sans distinction d'exercice
Article,12.080,061 12080,06.1.12.080,Bâtiments: exploitation et entretien,2 664 763,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.090,061 12090,06.1.12.090,Loyers d'immeubles et charges locatives accessoires payés au secteur des administrations publiques,1 074 756,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.100,061 12100,06.1.12.100,Loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,8 589 723,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.120,061 12120,06.1.12.120,Frais d'experts et d'études,9 691,90 000,90 000,80 000,80 000,90 000,Crédit sans distinction d'exercice
Article,12.140,061 12140,06.1.12.140,"Frais de publicité, de sensibilisation et d'information",86 036,0,0,,,,
Article,12.190,061 12190,06.1.12.190,Frais de stage à l'étranger; frais de cours; dépenses diverses,371 450,430 000,430 000,461 000,472 000,472 000,
Article,12.200,061 12200,06.1.12.200,Frais d'assurances autres que responsabilité civile automobile et assurances liées à l'exploitation des immeubles,35 872,0,0,,,,Crédit non limitatif
Article,12.251,061 12251,06.1.12.251,Centre de coopération Policière et Douanière: frais de fonctionnement,56 654,96 900,70 000,75 000,76 000,77 000,Crédit sans distinction d'exercice
Article,12.253,061 12253,06.1.12.253,Présidence luxembourgeoise de l'Union européenne: dépenses courantes,631 560,1 833 750,100,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.260,061 12260,06.1.12.260,"Frais d'exploitation et frais administratifs: vêtements de travail, frais de bureau, frais de publicité, frais de banque et dépenses diverses",,1 399 600,1 560 000,1 672 000,1 714 000,1 800 000,Crédit sans distinction d'exercice
Article,12.261,061 12261,06.1.12.261,Frais d'exploitation et frais administratifs: frais de communication,,3 492 000,3 717 000,3 787 000,3 880 000,3 975 000,Crédit sans distinction d'exercice
Article,12.270,061 12270,06.1.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,12 637 073,5 660 000,5 900 000,6 000 000,6 100 000,Crédit non limitatif et sans distinction d'exercice
Article,12.303,061 12303,06.1.12.303,Frais de participation aux opérations de maintien de la paix ainsi qu'aux opérations de coopérations internationales,133 895,221 670,105 000,110 000,110 000,110 000,Crédit non limitatif et sans distinction d'exercice
Article,12.310,061 12310,06.1.12.310,Education physique et sports: acquisition de matériel et d'équipements de sport; frais d'organisation de compétitions et frais de participation à des compétitions; allocation de prix à l'occasion de concours sportifs,48 604,50 000,52 000,53 000,54 000,54 000,
Article,12.320,061 12320,06.1.12.320,Frais de représentation; cérémonies; réceptions officielles; couronnes et dépôts de fleurs; frais de culte; dépenses diverses,37 303,37 000,38 000,39 000,40 000,41 000,
Article,12.321,061 12321,06.1.12.321,"Services de gardiennage, de surveillance et de contrôle technique",,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.330,061 12330,06.1.12.330,Acquisition et frais d'entretien des chiens et d'équipement connexe,36 654,44 000,44 000,46 000,47 000,47 000,
Article,12.340,061 12340,06.1.12.340,"Installation et entretien de matériel de transmission, de détection et de contrôle; acquisition d'outillage et de matériel de rechange; location d'équipements de transmission de données; frais d'utilisation du réseau radio-électrique; frais de consultation et de développement du réseau de communication digitalisé",1 226 013,0,0,,,,Crédit sans distinction d'exercice
Article,12.345,061 12345,06.1.12.345,Coopération policière européenne: développement et exploitation de nouveaux systèmes d'information,623 151,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.350,061 12350,06.1.12.350,Frais d'armement et munitions,524 982,1 015 000,1 290 000,1 154 000,1 183 000,1 200 000,Crédit sans distinction d'exercice
Article,12.351,061 12351,06.1.12.351,Frais d'acquisition et d'entretien de l'armement et de l'équipement; frais d'acquisition de matériel de tir; frais d'entretien du stand de tir; frais d'acquisition et d'entretien des équipements spéciaux,388 074,0,0,,,,
Article,12.360,061 12360,06.1.12.360,Dépenses afférentes aux mesures d'ordre public; examens médicaux et autres frais connexes,272 033,168 000,210 000,225 000,230 000,235 000,Crédit non limitatif et sans distinction d'exercice
Article,12.390,061 12390,06.1.12.390,Frais de banque,26 965,0,0,,,,Crédit non limitatif
Article,24.010,061 24010,06.1.24.010,Location de logiciels informatiques auprès de secteurs autres que le secteur des administrations publiques,26 703,0,0,,,,Crédit non limitatif
Article,11.600,061 11600,06.1.11.600,Indemnités d'habillement,,660,0,,,,
Section,06.2,062,06.2,Inspection générale de la Police grand-ducale,62 983,64 200,97 060,98 951,70 286,71 663,
Article,12.250,062 12250,06.2.12.250,Inspection générale de la Police grand-ducale: Frais de fonctionnement,62 983,64 200,97 060,98 951,70 286,71 663,
Département,07,07,07,Ministère de la Justice,136 778 372,135 877 524,148 061 879,151 437 363,157 684 991,168 029 824,
Section,07.0,070,07.0,Justice,2 989 795,2 604 382,2 596 900,2 552 385,2 557 417,2 563 205,
Article,11.130,070 11130,07.0.11.130,Indemnités pour services extraordinaires,4 192,6 250,6 000,6 332,6 426,6 535,
Article,12.000,070 12000,07.0.12.000,Indemnités pour services de tiers,3 709,3 300,3 800,4 052,4 113,4 182,
Article,12.001,070 12001,07.0.12.001,Indemnités pour services de tiers: frais de traduction et d'interprétation,,3 000,2 000,2 030,2 060,2 095,Crédit non limitatif et sans distinction d'exercice
Article,12.012,070 12012,07.0.12.012,Frais de route et de séjour à l'étranger,370 840,385 000,375 000,375 000,375 000,375 000,Crédit non limitatif et sans distinction d'exercice
Article,12.020,070 12020,07.0.12.020,Frais d'exploitation des véhicules automoteurs,1 191,4 000,4 000,4 052,4 113,4 183,
Article,12.040,070 12040,07.0.12.040,"Frais de bureau: journaux, livres et périodiques; menues dépenses",50 818,0,0,,,,
Article,12.080,070 12080,07.0.12.080,"Bâtiments: exploitation et entretien, dépenses diverses",3 904,5 600,5 600,6 102,6 193,6 298,
Article,12.120,070 12120,07.0.12.120,Frais d'experts et d'études,82 258,110 000,95 000,100 000,100 000,100 000,Crédit non limitatif et sans distinction d'exercice
Article,12.130,070 12130,07.0.12.130,Frais de publication,1 249,5 000,20 000,5 000,5 000,5 000,Crédit non limitatif et sans distinction d'exercice
Article,12.190,070 12190,07.0.12.190,Remboursement des frais d'inscription aux cours et aux épreuves d'évaluation de langue luxembourgeoise pour les candidats à la naturalisation,72 962,60 000,60 000,60 000,60 000,60 000,Crédit non limitatif et sans distinction d'exercice
Article,12.230,070 12230,07.0.12.230,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social; dépenses diverses,,,9 000,9 000,9 000,9 000,Crédit non limitatif et sans distinction d'exercice
Article,12.260,070 12260,07.0.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,75 200,71 000,71 923,73 002,74 242,Crédit sans distinction d'exercice
Article,12.303,070 12303,07.0.12.303,"Frais de fonctionnement du groupement d'intérêt économique ""Commission des normes comptables""; dépenses diverses",230 000,234 982,238 000,241 094,244 710,248 870,Crédit non limitatif et sans distinction d'exercice
Article,12.305,070 12305,07.0.12.305,"Impôts dus par l'Etat du fait de sa participation dans le groupement d'intérêt économique ""Buanderie centrale""",936,750,1 000,1 000,1 000,1 000,Crédit non limitatif et sans distinction d'exercice
